ddh_fields,microdatalib_section,microdatalib_field,json_fields
accessAuthAff,data access,access authority,study_desc$data_access$dataset_use$contact
accessAuthName,data access,access authority,study_desc$data_access$dataset_use$contact
acronym,identification,abbreviation,study_desc$title_statement$alt_title
body,overview,abstract,study_desc$study_info$abstract
citationText,data access,citation requirements,study_desc$data_access$dataset_use$cit_req
collabUPI,,,
contactEmail,contacts,contact,study_desc$distribution_statement$contact
copyright,disclaimer and copyright,copyright,study_desc$production_statement$copyright
dataClassification,,,
dataEdit,data processing,data entry and editing,study_desc$method$data_collection$cleaning_operations
dataNotes,,,
dataType,,,
devSampleDesign,sampling,deviations from sample design,study_desc$method$data_collection$sampling_deviation
disclaimer,disclaimer and copyright,disclaimer,study_desc$data_access$dataset_use$disclaimer
disclosureRisk,,,
embargoDate,,,
embargoNotes,,,
endDate,data collection,collection_dates,study_desc$study_info$coll_dates
estSampleError,data appraisal,estimates of sampling error,study_desc$method$analysis_info$sampling_error_estimates
fundingName,,funding_agency,study_desc$production_statement$funding_agencies
geographicalCoverage,coverage,country,nation
globalPractice,,,
kindData,overview,kind of data,study_desc$study_info$data_kind
language,,,
license,,,data_access_type
limitExcept,,,
lineage,,,
maintenance,,,
md_referenceID,identification,id number,idno
metadataCharSet,,,
metadataFileID,,,
metadataProdName,,,
metadataStandName,,,
modeDataColl,data collection,mode of data collection,study_desc$method$data_collection$coll_mode
modified,,,changed
nameDataColl,data collection,data collectors,study_desc$method$data_collection$data_collectors
notesDataColl,data collection,notes on data collection,study_desc$method$method_notes
otherAckName,producers and sponsors,other acknowledgements,study_desc$oth_id
otherDataAppraisail,data appraisal,other forms of data appraisal,study_desc$method$analysis_info$data_appraisal
otherProcess,data processing,other processing,study_desc$study_info$notes
otherProdName,,,
parentCatalogID,,,
primaryInvName,producers and sponsors,primary investigator,study_desc$authoring_entity
projectID,,,
publisher,producers and sponsors,Producers,doc_desc$producers
pubPlace,,,
questionnaire,data collection,questionnaires,study_desc$method$data_collection$research_instrument
releaseDate,,,created
responseRate,sampling,response rate,study_desc$method$analysis_info$response_rate
sampProc,sampling,sampling procedure,study_desc$method$data_collection$sampling_procedure
searchTags,,,
seriesInfo,,series information,study_desc$series_statement$series_info
startDate,data collection,collection_dates,study_desc$study_info$coll_dates
status,,,
studyType,identification,study type,study_desc$series_statement$series_name
subscription,,,
subtitle,identification,subtitle,study_desc$title_statement$sub_title
supervision,data collection,supervision,survey_mtdt$study_desc$method$act_min
termsofUse,,,data_access_type
timePeriods,data collection,time periods,
title,identification,title,study_desc$title_statement$title
topic,scope,topic,
transTitle,identification,translated title,study_desc$title_statement$translated_title
ttlUPI,,,
UID,,,
unitAnalysis,overview,unit of analysis,study_desc$method$data_collection$sampling_procedure$sample_frame$frame_unit$unit_type
universe,coverage,universe,study_desc$study_info$universe
verDescript,version,version,doc_desc$version_statement$version
verNotes,version,version_notes,doc_desc$version_statement$version_notes
verProdDate,version,version_date,doc_desc$version_statement$version_date
weighting,sampling,weighting,study_desc$method$data_collection$weight
,data access,confidentiality,study_desc$data_access$dataset_use$conf_dec
,data collection,frequency,study_desc$method$data_collection$frequency
,coverage,geographic unit,study_desc$study_info$geog_unit
,scope,scope description,study_desc$study_info$notes
harvest_source_id,,,id
